"","sample_key","metal","site","analyst","X","conc_blanked","conc_blanked_error","conc_unblanked","conc_unblanked_error"
"117",44,"Cd114","QC","KAD",150,3169.42152262831,79.9562988882543,3190.6797747559,77.2748549663147
"118",44,"Cr52","QC","KAD",146,72651.677627032,1733.42228575155,74384.0965298146,1752.98475505935
"119",44,"Cr53","QC","KAD",145,74758.8466493711,1629.32035057997,76516.3374040416,1648.89084248571
"120",44,"Pb208","QC","KAD",149,1489667.18227501,30408.0347439443,1491140.09725302,30342.8904565396
"121",45,"As75","B","KAD",152,3508.05170481579,212.482812782974,3648.15066790647,139.067762060641
"122",45,"Cd111","B","KAD",156,201.457108583365,197.503657603254,216.533834561915,196.819811368551
"123",45,"Cd114","B","KAD",154,321.70611565938,25.7446949687087,341.084530920266,16.5442887611214
"124",45,"Cr52","B","KAD",155,19043.1363090798,531.975965394794,20622.3598831735,534.537434672387
"125",45,"Cr53","B","KAD",153,19647.2045186103,571.435243986571,21249.2828765463,568.874687444416
"126",45,"Pb208","B","KAD",151,259995.192943896,8733.41681818362,261337.860154567,8477.39279005631
"127",46,"As75","A","LML",160,2293.54478687964,175.639441844203,2424.32510891747,90.891089925826
"128",46,"Cd111","A","LML",157,120.345134653237,24.2495665950276,134.419036666878,18.7693547220081
"129",46,"Cd114","A","LML",159,219.956890194318,20.4795415896731,238.046355901221,8.90632296711145
"130",46,"Cr52","A","LML",161,24856.8117631603,702.167476828204,26330.9937487616,713.655083431944
"131",46,"Cr53","A","LML",158,25848.860256207,689.967190163276,27344.3768464698,698.835011461768
"132",46,"Pb208","A","LML",162,318125.06196681,7915.11657802569,319378.422065468,7677.27482907109
"133",47,"As75","QC","LML",163,14985.1493018365,394.885919580022,15118.4012440688,366.487128431418
"134",47,"Cd111","QC","LML",165,2557.42383721104,150.324129543216,2571.76372220966,149.63442264124
"135",47,"Cd114","QC","LML",168,2743.54267660058,77.5556695843394,2761.97401551939,75.5789406369206
"136",47,"Cr52","QC","LML",166,64498.7477986855,1764.27569942109,66000.7903821908,1786.99858013585
"137",47,"Cr53","QC","LML",164,66081.2525359516,2210.75549660979,67605.0329272829,2228.43081370697
"138",47,"Pb208","QC","LML",167,1323841.72701916,37857.7605885567,1325118.774398,37825.184111072
"139",48,"As75","A","AH",171,2223.77809396894,183.654055461306,2363.45779794044,88.9766480656572
"140",48,"Cd111","A","AH",169,115.187190962363,18.5835743678596,130.218798442429,8.72575347137022
"141",48,"Cd114","A","AH",172,212.412611659073,21.3844914220627,231.733035217993,8.2902866023045
"142",48,"Cr52","A","AH",174,33986.1717445998,912.511133041406,35560.6693459235,928.467716464761
"143",48,"Cr53","A","AH",170,35036.0773324735,882.192100437837,36633.3613225828,896.223159615443
"144",48,"Pb208","A","AH",173,256848.966232733,6637.44579996128,258187.615387455,6300.24391479367
"145",51,"As75","C","LG",192,3567.66202868751,318.797020719534,3711.13350305886,273.059337535569
"146",51,"Cd111","C","LG",191,118.455066858672,44.7706701205383,133.894725062533,41.4761869516098
"147",51,"Cd114","C","LG",189,543.17587830713,34.1263678143679,563.020777563523,27.5821894861922
"148",51,"Cr52","C","LG",188,11070.0713311077,471.752179124471,12687.3105278787,460.3368151662
"149",51,"Cr53","C","LG",190,11422.2898826323,369.207217730086,13062.9340316026,345.135448613533
"150",51,"Pb208","C","LG",187,226578.800786623,6532.49636614785,227953.789152385,6164.28505303957
"151",52,"As75","B","MF",193,1717.25443409331,118.003946634321,1776.44170606633,99.3400903407615
"152",52,"Cd111","B","MF",194,82.9544194823268,9.08133139962553,89.3238476441722,6.09704189899087
"153",52,"Cd114","B","MF",196,177.901442589452,13.1372055336366,186.088195076048,10.5456458343696
"154",52,"Cr52","B","MF",195,9139.96658250288,528.498317154751,9807.13736752564,559.727620383485
"155",52,"Cr53","B","MF",197,9317.12155539073,533.500264118545,9993.9477459734,564.508188395369
"156",52,"Pb208","B","MF",198,219292.356988269,12298.7096460437,219859.590375398,12295.4926051308
"157",53,"As75","QC","MF",201,8048.03688973054,375.244263368134,8114.30916458341,370.319441036916
"158",53,"Cd111","QC","MF",199,1248.1655707282,62.8330538385866,1255.29745026456,62.6407878738466
"159",53,"Cd114","QC","MF",200,1292.791714135,61.0518105921078,1301.95846051235,60.7290269111378
"160",53,"Cr52","QC","MF",204,33405.5459258455,1574.06792147981,34152.5802824718,1604.89954157141
"161",53,"Cr53","QC","MF",203,34178.3982145544,1587.7178315703,34936.2437755115,1619.02003097955
"162",53,"Pb208","QC","MF",202,568664.369872538,26229.9045102557,569299.503841116,26238.1140467354
"163",54,"As75","A","LAK",207,2513.64595996227,187.676913335502,2639.52709807825,119.965167308341
"164",54,"Cd111","A","LAK",209,92.3260591275927,16.6707114743292,105.872736300457,7.705374600375
"165",54,"Cd114","A","LAK",210,151.852408529471,18.5725013767309,169.264221680046,5.40297655566469
"166",54,"Cr52","A","LAK",208,16942.5047708092,518.294412930237,18361.4621739259,526.469321347139
"167",54,"Cr53","A","LAK",205,17197.0399003742,510.757854049341,18636.5326888927,514.424346097513
"168",54,"Pb208","A","LAK",206,166776.75180468,4672.86365033091,167983.159567176,4272.16183314762
"169",56,"As75","A","AVM",220,4440.46305429256,196.131457841567,4587.02656574338,101.386018232658
"170",56,"Cd111","A","AVM",221,140.784447822534,24.1430856100279,156.556855068459,16.9259113673803
"171",56,"Cd114","A","AVM",222,411.876177261168,24.1673843562149,432.148765468328,12.6119350293667
"172",56,"Cr52","A","AVM",218,19149.4276287532,617.777174623734,20801.5208868258,616.97619161816
"173",56,"Cr53","A","AVM",217,19808.5048217536,532.073291956131,21484.507445745,525.188202315344
"174",56,"Pb208","A","AVM",219,867454.786193682,32188.415224631,868859.407732376,32124.7534837397
"175",57,"As75","QC","AVM",226,15237.1708797767,645.438743682955,15379.4220851302,625.80193383784
"176",57,"Cd111","QC","AVM",223,2370.82920351782,115.627275290256,2386.1375426798,114.562248218189
"177",57,"Cd114","QC","AVM",227,2545.37238563795,75.7473730395879,2565.04849792236,73.3470118253803
